Segue 1,151.7633333,16.07361111,0.02,0.001
Segue 3,320.3791667,19.11722222,0.02,0.001
Segue 2,34.81666667,20.17527778,0.03,0.002
Triangulum II,33.3225,36.17833333,0.03,0.002
UMa II,132.875,63.13,0.03,0.002
BootesII,209.5333333,12.84833333,0.04,0.002
ComaI,186.7433333,23.91166667,0.04,0.002
Willman1,162.3375,51.05,0.04,0.002
BootesIII,209.3,26.8,0.05,0.003
UGC09749,227.2948005,67.2136217,0.06,0.004
BootesI,210.0208333,14.50416667,0.07,0.004
Sgr II,298.1645833,-21.935,0.07,0.004
Draco,260.0058333,57.90944444,0.08,0.005
UGC10822,260.0555295,57.9271408,0.081,0.003
